Nº,Timestamp,SessionId,Etapa Actual,Input Usuario,Trigger Detectado,Respuesta del Bot,Siguiente Etapa,Acción Servidor,Duración (ms)
81,2025-11-23T22:32:16.213Z,srv-1763937136211-83df9b355d60a5b70070bf511bcda15ccc7a57febb7469634a635d9f3020e0b2,ASK_LANGUAGE,+54 9 11 1234-5678,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
82,2025-11-23T22:34:02.318Z,srv-1763937242309-8226f34727b1c05d02c2028ad2bf963e3b4de8881c7473bb3e0d902d5589e883,ASK_LANGUAGE,[BTN] 🇦🇷 Español (Argentina),BTN_LANG_ES_AR,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,3
83,2025-11-23T22:34:02.838Z,srv-1763937242836-796b831bcfe7cf1851a3cc70ae35a8fc00f7ec90c62a0736715c8db7d3762634,ASK_LANGUAGE,[BTN] Prefiero no decirlo 🙅,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
84,2025-11-23T22:34:03.365Z,srv-1763937243363-d81189244dbbdc685f7ae874ef6e6136ebacc1cda0cc40722cce346dcde86c22,ASK_LANGUAGE,[BTN] Ayuda técnica 🛠️,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
85,2025-11-23T22:34:03.896Z,srv-1763937243890-d35253fa9aedd44cae8226d06e8b9f38377f2abac232144cf452fe9036765be1,ASK_LANGUAGE,mi compu no enciende,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,6
86,2025-11-23T22:34:04.438Z,srv-1763937244433-25857d42a793216a8e35eef1c30d4bcd517a317098a314f5f3aa985794d8fef9,ASK_LANGUAGE,es una notebook HP Pavilion,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
87,2025-11-23T22:34:04.966Z,srv-1763937244962-e552d7d4beffbf499feb25990abf9a88d66c9500a7c0bccded066df2fadf5c2f,ASK_LANGUAGE,[BTN] BTN_TESTS_DONE,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
88,2025-11-23T22:34:05.537Z,srv-1763937245534-f306c7c1eb1c4c5359279525a6ff8d3c49130581d7d3f58367fa19fe958d961f,ASK_LANGUAGE,[BTN] 🌎 Español,BTN_LANG_ES_ES,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,2
89,2025-11-23T22:34:06.065Z,srv-1763937246060-26e5ead51b4ba5a11ed90f62388c7dfaac14b0fc8d1c7757365c8da8990f589e,ASK_LANGUAGE,Roberto,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
90,2025-11-23T22:34:06.610Z,srv-1763937246605-bf5fb764af9ccc63c95726855c8794245944f0a719a7f5d2f761642ac043808e,ASK_LANGUAGE,[BTN] Asistencia 🤝,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
91,2025-11-23T22:34:07.153Z,srv-1763937247145-f7791e478508eb073cb24a9a44629629b291e243fbad5a74ec9e23c8ae9a9689,ASK_LANGUAGE,necesito ayuda para instalar una app en mi stick tv,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,8
92,2025-11-23T22:34:07.688Z,srv-1763937247684-637351ddaa681b753f1fe1550c2668579e94f1b3f7115418bc29b447beebea01,ASK_LANGUAGE,[BTN] 👍 Ya lo solucioné,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
93,2025-11-23T22:34:08.234Z,srv-1763937248232-9e9601928dcc615d45c3cf622a2f73a7666ac5bf023ee13713b8ee1f9df8de95,ASK_LANGUAGE,[BTN] 🇬🇧 English,BTN_LANG_EN,"👋 Hi, I'm Tecnos, the intelligent assistant of STI — Servicio Técnico Inteligente. I can help you with PCs, notebooks, Wi‑Fi, printers and some TV...",ASK_NAME,language_selected,2
94,2025-11-23T22:34:08.779Z,srv-1763937248774-f3d43b25a6fef46b4dd21a74e68d990914f233c4beae2e760084b1c768d95134,ASK_LANGUAGE,Heber,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
95,2025-11-23T22:34:09.321Z,srv-1763937249316-cba23da60ff27b00665e45ccda7928317bbd5b4636a1dd1987564e58005902d2,ASK_LANGUAGE,[BTN] Ayuda técnica 🛠️,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
96,2025-11-23T22:34:09.854Z,srv-1763937249844-ad24efcae5cb6568dbb7ef24966d144b6fea8143b4c9a395159b5879cfa6990c,ASK_LANGUAGE,asistencia para configurar una conexión wan en un microtik,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,10
97,2025-11-23T22:34:10.388Z,srv-1763937250384-c09c091a458976d43b2a05d23676d36687408b1d9341825585d6a2fa5894341e,ASK_LANGUAGE,MikroTik RB750Gr3,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
98,2025-11-23T22:34:10.919Z,srv-1763937250915-0ee5bb8c57b5945f2412337445cd28e69bd6785881284818b623f66757c21288,ASK_LANGUAGE,[BTN] BTN_TESTS_FAIL,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
99,2025-11-23T22:34:11.448Z,srv-1763937251444-47ab0ba303d9a4c83e1e3ef9e2e3f555751e9c9d8f9fe20dc81ffba4a5d66f22,ASK_LANGUAGE,[BTN] BTN_YES,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
100,2025-11-23T22:34:12.008Z,srv-1763937252006-3f23c264e056f74af7402d79514ef4a32809d2f91698763ce2f7417520a330b9,ASK_LANGUAGE,[BTN] 🇦🇷 Español (Argentina),BTN_LANG_ES_AR,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,2
101,2025-11-23T22:34:12.554Z,srv-1763937252548-e3e3355f8d60cbb44647b89af8deaf7906e9cb9ccf353a01481e9f13be801901,ASK_LANGUAGE,Valeria,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,6
102,2025-11-23T22:34:13.092Z,srv-1763937253089-9e95164d80edf68e7c362af83050bea71aee36f1f9cd1389b054af258000d026,ASK_LANGUAGE,[BTN] Ayuda técnica 🛠️,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,3
103,2025-11-23T22:34:13.624Z,srv-1763937253620-81856458440582e8248d5a68920039ca4be089818bdb6d8a9b7e55b8376d59b1,ASK_LANGUAGE,tu notebook no enciende,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
104,2025-11-23T22:34:14.170Z,srv-1763937254162-caffce9198c3f034765542a714a783f6dd0d7249c9c27329ff2b76ec942c6762,ASK_LANGUAGE,Dell Inspiron 15,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,8
105,2025-11-23T22:34:14.709Z,srv-1763937254705-9b48b32422cda08ce6825fafd9cf076e8375e68f0a9b3cca35cf6b9ea9e9c0cf,ASK_LANGUAGE,[BTN] BTN_TESTS_FAIL,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
106,2025-11-23T22:34:15.248Z,srv-1763937255244-3d1dc01d6b3f82524424259b75b53419a1c73cf68d9c075bfb1e3cf20b774145,ASK_LANGUAGE,[BTN] BTN_YES,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,3
107,2025-11-23T22:34:15.778Z,srv-1763937255774-01414d209d2f203967356ea9b498bc19cdad40325c0187fb6fd8ff185564626b,ASK_LANGUAGE,valeria@email.com,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
108,2025-11-23T22:34:16.322Z,srv-1763937256317-19c294726984c7fe5cd5ea267d8b7e9005c3c64d3bacc2faf59e9220eba708d9,ASK_LANGUAGE,+54 9 11 1234-5678,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
109,2025-11-23T22:35:43.442Z,srv-1763937343438-1dd91c5b47c82428519e6116e8721bec867fdf55a7b81ac0c5f3bd8bc69ae28f,ASK_LANGUAGE,[BTN] 🇦🇷 Español (Argentina),BTN_LANG_ES_AR,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,4
110,2025-11-23T22:35:43.987Z,srv-1763937343980-bfe42e925548d0ce436ab46b1fe521f5a864098a40de435886973243cf4447b4,ASK_LANGUAGE,[BTN] Prefiero no decirlo 🙅,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,7
111,2025-11-23T22:35:44.521Z,srv-1763937344517-7499adedd64ad7f6a5fba75c59dd011d910d0943ba8c9bbcb53b3880bd75a99e,ASK_LANGUAGE,[BTN] Ayuda técnica 🛠️,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,3
112,2025-11-23T22:35:45.055Z,srv-1763937345050-6025f91c3f2b82ffb0fe865713c5afc048c7b5c486441427321481ed266155eb,ASK_LANGUAGE,mi compu no enciende,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
113,2025-11-23T22:35:45.604Z,srv-1763937345600-5fc74f35820a17148ebb60d47eeb339545015a8c7db56642bdb1c527c6c7c10b,ASK_LANGUAGE,es una notebook HP Pavilion,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
114,2025-11-23T22:35:46.144Z,srv-1763937346140-2c758cda97ee78e9f2adbc097c5e055605c09883b75846350a16ee434ad7d60c,ASK_LANGUAGE,[BTN] BTN_TESTS_DONE,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
115,2025-11-23T22:35:46.696Z,srv-1763937346694-bef39843b6a174698424ebd4a2f1ca8773579098362a5070a486eb0e54b1188d,ASK_LANGUAGE,[BTN] 🌎 Español,BTN_LANG_ES_ES,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,2
116,2025-11-23T22:35:47.237Z,srv-1763937347233-57e9122794836dd81c508ef0680610d27a011a7bb6e8d24e7ad7de5ec7e5d731,ASK_LANGUAGE,Roberto,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
117,2025-11-23T22:35:47.765Z,srv-1763937347760-f4add0e1362bc047bfc8bbfbcf2bcadd4654eea3f1e17976986e4fbdee6a8269,ASK_LANGUAGE,[BTN] Asistencia 🤝,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
118,2025-11-23T22:35:48.298Z,srv-1763937348294-7cae02bb9e6b34af4d2d478361defc5c7b00b8a62c643c05076c25f55bbe20d1,ASK_LANGUAGE,necesito ayuda para instalar una app en mi stick tv,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
119,2025-11-23T22:35:48.832Z,srv-1763937348826-3fb40e14dd42978c4ee4569f9afceccf9ee245f008b8a0f000c12a5c74fd533f,ASK_LANGUAGE,[BTN] 👍 Ya lo solucioné,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,6
120,2025-11-23T22:35:49.392Z,srv-1763937349391-4360da54ab06401d87e6250dad21c3e6ac4d2dd7cf2913868c37a63ead8c6523,ASK_LANGUAGE,[BTN] 🇬🇧 English,BTN_LANG_EN,"👋 Hi, I'm Tecnos, the intelligent assistant of STI — Servicio Técnico Inteligente. I can help you with PCs, notebooks, Wi‑Fi, printers and some TV...",ASK_NAME,language_selected,1
121,2025-11-23T22:35:49.932Z,srv-1763937349927-610a16d5f6dbfcc2d9e512d90ab508e1f833e19ba5ac90974d632d2d4ad3945c,ASK_LANGUAGE,Heber,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
122,2025-11-23T22:35:50.459Z,srv-1763937350455-dd56d0e1e1b18d458dbe1177c5fb4ef34b1d553b4bdf68b0dcce3439590550b5,ASK_LANGUAGE,[BTN] Ayuda técnica 🛠️,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
123,2025-11-23T22:35:51.004Z,srv-1763937350998-ecca024f387887a680efb2477f5eb9ba3b3b2b115349e4d945be228b2e958e7e,ASK_LANGUAGE,asistencia para configurar una conexión wan en un microtik,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,6
124,2025-11-23T22:35:51.544Z,srv-1763937351540-dda33bb5a991fb5464e34ddaf18cbe15aa6e2085057172f1ba4023e698985ef7,ASK_LANGUAGE,MikroTik RB750Gr3,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
125,2025-11-23T22:35:52.087Z,srv-1763937352078-302944263af3bda64100cebe501c39445e4151385ebe1bd62a4fc12b5e7e00c7,ASK_LANGUAGE,[BTN] BTN_TESTS_FAIL,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,9
126,2025-11-23T22:35:52.626Z,srv-1763937352622-25de679f7fb6d55381febc506d413e009b860e9dab7459788b5cbadbbe596e46,ASK_LANGUAGE,[BTN] BTN_YES,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
127,2025-11-23T22:35:53.191Z,srv-1763937353189-4cce8f617356d38938a7d7b07dcb3a7aaa2d35793e294dec0e3631457dfe8d11,ASK_LANGUAGE,[BTN] 🇦🇷 Español (Argentina),BTN_LANG_ES_AR,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,2
128,2025-11-23T22:35:53.727Z,srv-1763937353723-eee2bee6afd73183fe937807ddba4a44a6c72fecc769b5d52a6453faf0573f61,ASK_LANGUAGE,Valeria,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
129,2025-11-23T22:35:54.270Z,srv-1763937354265-e8f0c6be7dd7f4a96bb7f63740350dca7c41c196ea0cfa66afa89e24c12471b1,ASK_LANGUAGE,[BTN] Ayuda técnica 🛠️,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
130,2025-11-23T22:35:54.798Z,srv-1763937354793-3f546096500f4dcc8947bec87163a63b890aa5023dc11edbab9ea5027250c09a,ASK_LANGUAGE,tu notebook no enciende,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
131,2025-11-23T22:35:55.339Z,srv-1763937355335-3571bfa50ffae4e538820225c7c8a0792b855d733d4be42ef8b9914dc6826099,ASK_LANGUAGE,Dell Inspiron 15,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
132,2025-11-23T22:35:55.879Z,srv-1763937355875-b3a4d7c70843325ec5c98e34c5ffb095f283995cfd133f78c95e3bee109d0e55,ASK_LANGUAGE,[BTN] BTN_TESTS_FAIL,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
133,2025-11-23T22:35:56.425Z,srv-1763937356419-41562d4f793d571986af870dfcd1cda7cf36b44fdeac31ca096479ea7e347c47,ASK_LANGUAGE,[BTN] BTN_YES,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,6
134,2025-11-23T22:35:56.967Z,srv-1763937356962-5594e9dd5a2abbe596e97f7dea1047fd272d172a682e47b28ed0ab95f2d2a810,ASK_LANGUAGE,valeria@email.com,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,5
135,2025-11-23T22:35:57.504Z,srv-1763937357501-5deff785638f3f8b9e201b55a3e00f08f36c316dfcd517452f701b9fb2262125,ASK_LANGUAGE,+54 9 11 1234-5678,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,3
136,2025-11-23T22:36:51.407Z,srv-1763937411356-6b548a3e746bbc134b1a2005c44be261c2633bad4eed499b09e2d0599ebf1e97,ASK_LANGUAGE,[BTN] 🇦🇷 Español (Argentina),BTN_LANG_ES_AR,"👋 Hola, soy Tecnos, asistente inteligente de STI — Servicio Técnico Inteligente. Puedo ayudarte con PC, notebooks, Wi‑Fi, impresoras y algunos dis...",ASK_NAME,language_selected,3
